Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ATL,47,30.8,5.00,162,6275,5489,810,1490,274,26,179,758,148,56,595,1010,.271,.346,.429,.775,95,2353,127,59,87,45,38,1192
BAL,50,32.0,4.90,162,6238,5549,794,1508,310,22,184,750,126,65,558,900,.272,.341,.435,.776,100,2414,148,49,27,54,34,1129
BOS,52,29.4,4.89,162,6371,5630,792,1503,316,32,167,755,43,30,611,1019,.267,.341,.423,.764,90,2384,115,42,40,48,40,1226
CHC,51,30.7,4.72,162,6397,5577,764,1426,272,23,183,722,93,37,632,1120,.256,.335,.411,.746,90,2293,114,54,89,45,50,1215
CHW,42,27.5,6.04,162,6410,5646,978,1615,325,33,216,926,119,42,591,960,.286,.356,.470,.826,106,2654,140,53,55,61,28,1127
CIN,45,29.2,5.06,163,6373,5635,825,1545,302,36,200,794,100,38,559,995,.274,.343,.447,.790,96,2519,137,64,56,58,60,1189
CLE,55,30.1,5.86,162,6512,5683,950,1639,310,30,221,889,113,34,685,1057,.288,.367,.470,.837,110,2672,134,51,41,52,27,1260
COL,49,29.2,5.98,162,6453,5660,968,1664,320,53,161,905,131,61,601,907,.294,.362,.455,.816,87,2573,126,42,75,75,64,1198
DET,45,29.0,5.08,162,6343,5644,823,1553,307,41,177,785,83,38,562,982,.275,.343,.438,.781,102,2473,142,43,42,49,22,1185
HOU,46,29.1,5.79,162,6444,5570,938,1547,289,36,249,900,114,52,673,1129,.278,.361,.477,.837,104,2655,154,83,57,61,57,1171
KCR,44,27.5,5.43,162,6394,5709,879,1644,281,27,150,831,121,35,511,840,.288,.348,.425,.773,93,2429,139,48,56,70,28,1184
LAD,46,29.6,4.93,162,6312,5481,798,1408,265,28,211,756,95,42,668,1083,.257,.341,.431,.771,99,2362,129,51,66,46,42,1188
MIL,46,28.9,4.54,163,6355,5563,740,1366,297,25,177,708,72,44,620,1245,.246,.325,.403,.729,85,2244,126,61,61,49,47,1183
MIN,41,26.5,4.62,162,6283,5615,748,1516,325,49,116,711,90,45,556,1021,.270,.337,.407,.744,85,2287,143,35,24,51,31,1198
NYM,47,30.4,4.98,162,6328,5486,807,1445,281,20,198,761,66,46,675,1037,.263,.346,.430,.776,98,2360,122,45,70,51,42,1214
NYY,46,31.3,5.41,161,6311,5556,871,1541,294,25,205,833,99,48,631,1007,.277,.354,.450,.804,103,2500,134,57,16,50,42,1189
OAK,44,27.5,5.88,161,6432,5560,947,1501,281,23,239,908,40,15,750,1159,.270,.360,.458,.817,109,2545,147,52,26,44,32,1210
PHI,51,28.6,4.37,162,6273,5511,708,1386,304,40,144,668,102,30,611,1117,.251,.329,.400,.729,83,2202,115,44,70,37,40,1209
PIT,46,28.3,4.90,162,6369,5643,793,1506,320,31,168,749,86,40,564,1032,.267,.339,.424,.762,92,2392,133,66,59,37,41,1202
SDP,56,28.6,4.64,162,6291,5560,752,1413,279,37,157,714,131,53,602,1177,.254,.330,.402,.732,91,2237,123,46,39,43,50,1155
SEA,37,31.2,5.60,162,6444,5497,907,1481,300,26,198,869,122,56,775,1073,.269,.361,.442,.803,108,2427,129,48,63,61,34,1247
SFG,36,29.9,5.71,162,6418,5519,925,1535,304,44,226,889,79,39,709,1032,.278,.362,.472,.834,115,2605,131,51,73,66,60,1213
STL,46,29.6,5.48,162,6369,5478,887,1481,259,25,235,841,87,51,675,1253,.270,.356,.455,.812,103,2495,116,84,79,53,33,1214
TEX,42,29.4,5.23,162,6364,5648,848,1601,330,35,173,806,69,47,580,922,.283,.352,.446,.798,100,2520,161,39,48,48,39,1198
TOR,45,28.2,5.31,162,6326,5677,861,1562,328,21,244,826,89,34,526,1026,.275,.341,.469,.810,101,2664,130,60,29,34,32,1152
